id,name,price,sold,rating
1,Razer,188451,592025,3.2
2,Jio,313131,270988,2.7
3,Acer,394640,611943,2.69
4,Wings,206279,960777,2.4
5,Apple,292745,378158,2.68
6,Samsung,205764,699866,4.54
7,Ninkear,254480,32763,2.81
8,Xiaomi,46860,385933,1.08
9,Primebook,343311,304389,4.11
10,Lenovo,513786,323133,1.37
11,Honor,16211,448378,3.99
12,Dell,150205,124348,4.02
13,Huawei,454020,959352,4.41
14,Walker,13781,698697,4.15
15,ASUS,76173,966382,3.39
16,Wings,118642,270969,1.58
17,Ninkear,388246,795916,4.83
18,Gigabyte,596175,37477,4.02
19,Ultimus,420645,645054,1.71
20,Walker,593652,960553,4.96
21,Wings,103312,813319,4.97
22,Apple,419156,11880,3.59
23,Xiaomi,554517,563141,1.15
24,Apple,312238,584111,2.51
25,Ultimus,66684,609395,3.27
26,HP,265804,239711,4.17
27,Primebook,231756,692645,1.34
28,Colorful,185974,285202,4.71
29,Ultimus,547715,362609,2.36
30,Jio,25236,194584,2.7
31,Microsoft,238107,21609,2.42
32,Xiaomi,445555,270081,1.04
33,Asus,570727,932776,2.25
34,Jio,105852,512798,2.18
35,Honor,349222,161277,2.39
36,Microsoft,547462,422984,1.52
37,Razer,234621,818287,2.27
38,Walker,331753,957132,3.41
39,AXL,30257,461300,2.72
40,Zebronics,535268,975702,3.91
41,Chuwi,104306,665236,3.87
42,Jio,250281,85003,4.33
43,Wings,298438,249423,2.33
44,Asus,227328,368385,4.79
45,Samsung,501484,500874,4.76
46,Wings,77511,605440,1.34
47,Walker,550101,85445,2.77
48,Ultimus,117343,612499,2.51
49,Razer,174325,830706,2.24
50,HP,51981,576696,3.87
51,HP,379641,286801,1.13
52,Walker,149845,961113,3.12
53,AXL,52133,767893,3.41
54,Walker,260804,451744,3.49
55,Samsung,479107,802379,4.04
56,Lenovo,36811,21107,3.99
57,ASUS,370334,357807,4.96
58,Xiaomi,250993,118914,4.87
59,HP,555723,469984,4.14
60,Acer,55060,980802,4.3
61,Colorful,156662,718171,2.25
62,Lenovo,85662,905131,4.27
63,Apple,64562,763746,4.32
64,Apple,552865,451244,3.68
65,Lenovo,367717,236983,3.98
66,Huawei,144318,25214,4.98
67,Acer,518872,950612,2.07
